d,theta,phi,v0,vf,Target_T
6.771777796591281,0.23214663659099588,-0.4823729393443123,6.724447497351737,2.910405736714508,0.7500000000000002
1.232627767010659,0.4231615242924902,-0.2706313626315436,8.79088377146091,10.080719295223341,1.0000000000000004
4.423595003009174,-0.4430440053467837,-0.012532181877677684,8.384773237570624,10.498521217932488,0.5
8.990272588637879,0.14748562903681406,0.1001478245586861,11.663935026984708,9.06476265445504,0.7000000000000002
5.22648738708225,0.24863158135391705,-0.421162927130002,12.6538877858972,3.2515920861781256,0.55
7.194400667117851,-0.7380978405527467,0.15269179955264034,11.026009456075546,3.8017894494812348,0.7000000000000002
2.7408622513483074,0.734781420391865,0.26755876972963344,3.437650685359366,6.504854545036713,0.5
1.4560032189545746,-0.11438812458449177,-0.43977639385919576,9.921548163242683,12.359950499931205,1.1000000000000005
4.965940051432327,-0.387415021212961,0.499232774759201,8.8420973371101,14.295329833876488,0.8500000000000003
8.775132696088804,0.4716936149457631,-0.4710384637936057,12.06009377074946,4.2361013016255065,0.7500000000000002
8.233897630600705,0.42301628795747503,-0.12618584248918452,3.0630441926904384,10.999861555113943,0.7500000000000002
6.460053257856712,-0.17583697714673663,0.0771115270226288,2.2043756274872317,13.321369701075552,0.6500000000000001
5.3584764111730685,-0.7462490904042088,-0.12214520272090129,13.753810488692622,14.240103053653362,1.0000000000000004
7.324031767121529,-0.27783299197330646,-0.45997332304404104,9.792998866364854,12.513606177328954,0.55
1.5823305262066782,0.3960337078701288,0.2703606431250818,13.966051066006315,12.871153950086196,1.2000000000000006
2.6398198789627223,0.1576591091741606,0.045825624802906084,7.98011960249224,5.644849563671343,0.5
6.297189724841207,0.6967607178725517,0.14191618900289504,4.882482895277681,11.138945835089697,0.6500000000000001
1.3012518498833265,-0.7517714338750567,0.12720658969355236,4.709235495585561,13.573936760334801,1.0000000000000004
6.280976517771813,0.32993140887678285,-0.22505971308175576,11.318483320211191,12.025501288990101,0.5
3.055543276894208,0.4570438328213722,0.22445155283374074,14.153923364597983,14.819340876773015,1.2000000000000006
1.2594765996225168,0.6352559327645857,-0.4411009829453902,4.434925645442694,9.672418938630408,0.8500000000000003
8.19328374794443,0.6220946436670327,-0.24283573345450865,5.12761574349425,7.99501810224318,0.7500000000000002
7.865600580292137,0.45958359294404305,-0.4965804785784738,11.238540407071605,12.36830505799534,0.55
2.7039242580512473,0.7309551937834087,-0.25072736757234343,9.944459294080087,8.78434353741045,0.8500000000000003
6.119170679745867,-0.700771781517345,-0.03599395231540986,2.5469838397475204,11.767658765682697,0.6500000000000001
1.1638452366042504,-0.011129084749748386,0.4984503134064323,2.898588080697134,9.618646200135377,0.8000000000000003
8.041493331232747,0.5533953987645703,-0.3461834311201941,6.047759515403286,14.688416112521741,0.6500000000000001
4.574344832525549,0.5238286399715286,0.025408526523595487,10.86844309418026,12.532229485154744,0.9000000000000004
1.832940409543633,-0.02588597644617574,-0.19497070897201318,7.96233318794757,14.35398631423293,1.1000000000000005
3.447965601505986,-0.2848405885609103,0.127457377387043,12.945879883332003,6.4709791433026975,0.8500000000000003
7.257566261486397,-0.21146734166281322,0.2482099534340133,11.117995896870507,6.139711508607718,0.6500000000000001
4.089152937006645,-0.36739803320572845,-0.11908520546983636,8.162165065440199,2.1869526775089505,0.6000000000000001
7.430043246681159,-0.7690915406331625,0.34582838569563057,14.173255306180128,10.29458256585093,0.55
6.18475273545771,-0.22331195462859132,-0.09372096718969075,14.660740092839625,4.187252675869144,0.6000000000000001
1.5312911803734404,-0.06690979195054758,-0.4358882459895972,7.273131862603122,3.6454130320113904,0.6500000000000001
4.614793825004192,0.24023563040694929,-0.398053872579717,12.471613658778987,5.541168604633197,0.5
7.014098440567257,0.31366188692850194,0.4825506989486926,5.984096999602874,5.076075195436367,0.7500000000000002
5.655135472997895,0.06092914485399181,0.1102278549477691,6.232874366730353,9.132092787317998,0.6000000000000001
3.957028615317434,-0.03258979797471917,0.14596729181107448,5.591438985405416,4.784740103007817,0.55
2.405738526085815,-0.7794941885042899,0.4114552806162284,11.696166458452925,11.980659692055887,1.0500000000000005
4.310240497237803,0.7558845277332347,-0.09955733171451031,8.699767428323844,10.103173227541031,0.5
3.302300580221034,0.7345979748867966,0.04050668826653703,6.820582225522395,3.222156312576617,0.5
2.896743743577244,0.429745942378819,-0.36241386295781053,7.509660666923048,4.785414107165293,0.5
1.9283054834461175,0.46491685520102677,-0.21943456901635833,2.286841036545581,7.819705350712449,0.5
3.351333125823051,0.15726924783016805,-0.15091683559168,5.752560165766197,13.230189360849685,0.8500000000000003
1.9456204134346364,0.3485851685744281,0.10210518670260416,10.900208553422582,8.837599328339437,1.0000000000000004
8.062390521296457,-0.410676606266941,0.24840009451691403,2.233637486864275,5.8670064897673235,0.8500000000000003
3.1737823812813715,0.44955742816990885,-0.46624310775757905,6.0869009350093,14.481576723386029,0.9500000000000004
8.352542359047238,0.7762738016140223,-0.06515265800563275,11.90282089995212,4.359577846292403,0.7500000000000002
1.7334838271895423,-0.6406907961455486,0.06625231580247348,7.958792215785722,7.602003830382147,0.8000000000000003
3.6056308388111074,0.4229888733787026,-0.20729691177056347,8.23325327497341,8.345422807816597,0.5
6.838250368778109,0.7219927067418295,0.41179270711953775,11.439880462490983,3.8913472875606665,0.6500000000000001
7.493589397478128,-0.3751534338279669,-0.2898581934208512,2.212122132697465,12.619470784149101,0.7500000000000002
8.268432560452192,0.6555792850993618,0.4430856265583507,9.272281615841182,2.358679780406085,0.8000000000000003
3.7403512737074434,-0.7825169956410509,0.05549573697936039,13.020490966342129,5.673370832305735,0.8000000000000003
5.6949719259764064,0.0030355908214272365,-0.2442578218596178,14.384493701030618,11.654540897266465,0.5
7.238200726965047,-0.33266000249862254,0.4815999962641436,13.338695690028924,6.636568025492437,0.6000000000000001
5.5301698264810515,-0.11933321861314372,0.2069652871107751,3.07137319727913,14.610921671771194,0.55
3.3470771030377984,0.3322526577810909,-0.3660345806512215,5.794520817262237,12.08330388632481,0.8000000000000003
9.103201044828264,0.3288897492537701,-0.40055712996654946,4.698927465080481,5.745860562616832,0.8500000000000003
4.470578877140517,-0.30341495686579467,0.42235488775089525,4.273954073733929,14.391331835686543,0.5
7.113523020689356,0.1420692578328525,-0.3596044759182132,7.384204465155484,12.986845853019346,0.6000000000000001
9.421508844918591,-0.44465200853738274,-0.03417845809112302,13.533273007238197,3.1003427815217792,0.8000000000000003
6.447477334247119,-0.12082781823948119,0.2709508206357759,7.66310703053774,14.246870191521065,0.55
7.934336997291909,0.07813763889864223,-0.3472076585687496,10.415659920779582,12.859474599908276,0.6000000000000001
2.3915000056894984,-0.39568265099213523,0.41486566129653957,10.441657044726037,5.0246785183532,0.8000000000000003
6.7844295963555625,-0.24504662682870315,-0.4563295743261301,2.2045829154874115,10.051643318971596,0.7500000000000002
2.5726093026179875,0.10873637672901881,0.00896339582641903,2.191939040434111,10.073044050609838,0.5
9.073884853157042,-0.5838358588457835,0.07631169755850742,4.242297726378504,12.923845685765317,0.7500000000000002
6.0925171747982905,-0.6445884302796133,-0.28760423500763144,3.077095898340639,7.765761301349086,0.7000000000000002
8.676097826602977,-0.7068276538520838,-0.27970835804511907,13.453233423640425,2.7163416108227176,0.7500000000000002
5.396040370640161,0.47187192846183046,-0.33799660382248276,10.774865310953665,9.007999946569784,0.5
3.042384779937056,0.7719556055489547,0.02277781031931614,5.7578692906646705,11.8874874387697,0.8500000000000003
5.456014431380574,0.7247524431447814,0.2931449356894772,11.97135613232103,10.573404533353123,0.5
4.617794159408794,0.16206298390220142,-0.13735026018200736,2.08812484586607,4.639859690893253,0.7000000000000002
3.462499110545982,0.32709342748861325,-0.41031275262112626,11.485247378526314,14.723521406835985,1.1000000000000005
7.218935137482042,0.465651824816659,-0.4398321301202538,10.288377392003119,7.514493688000553,0.6500000000000001
3.0054967745940218,0.3692874469282783,-0.5085342385801729,11.504068264539027,11.071534016406526,1.0000000000000004
1.0851330184009864,-0.08923547129311238,0.06035624469764267,13.98929234767366,5.522924669272846,1.0500000000000005
6.850865867826185,-0.22439732114559396,0.513509910735347,9.445221456537428,8.096464057340949,0.6000000000000001
3.1911358203842664,0.17123247142127174,-0.17442514658800035,2.2584328923606884,8.790280314055657,0.5
2.3522399619090515,0.7666557966417507,0.14590033323181617,6.158732223267928,10.31291305221589,0.8500000000000003
7.311477325574719,0.5057648912737684,0.46452869512082273,11.420134349364167,12.139882358062293,0.55
1.159769007880387,0.4796256692417802,0.2963666685621118,7.45308185352046,14.616787923437597,1.1500000000000006
5.693114534944691,0.725423715788176,-0.09436886388289534,10.814280533747487,14.575203015863861,0.5
5.380283745501086,0.3520084578384579,0.13986427801773382,13.164875346146792,14.578053434102582,1.0000000000000004
5.440061958235726,0.6913859545817778,-0.1283780466985529,8.108055669203942,9.560705160644336,0.5
5.290729264959228,0.5011618502730686,-0.20851762250486622,11.915236299497938,4.5318807268789625,0.55
9.496968138362847,0.052399340999113475,-0.39268517725109453,13.374542882075314,7.491591163844721,0.7000000000000002
9.203666244178676,-0.40909735092274946,0.12724123553211986,6.973959612107626,12.524074228135753,0.7000000000000002
9.412256836164916,-0.7598111609801933,-0.12409916805220578,4.207416447783879,13.630981560176176,0.7500000000000002
8.81682841728179,0.04610154355478391,0.5053868043828161,13.54176795593013,4.977164817134492,0.7000000000000002
8.003502212796048,0.1991744362736504,-0.18969956183698222,4.570582735535625,11.524817016009926,0.7000000000000002
6.413598318947429,0.15345341609690388,-0.3206207613759671,13.01159592977055,11.506387247103016,0.5
5.0585368625424065,0.3023034746268958,-0.419351752158592,2.5884359476298946,11.649271227783586,0.6000000000000001
2.899807504140459,-0.004920750035458776,0.049547586083372286,6.784765803832644,6.679075476012448,0.5
6.106418888104521,-0.38317500344496086,-0.1260155948441411,4.252816926802479,3.103098878012011,0.7500000000000002
7.041590158831794,0.6769785671702002,0.3217959207686354,4.949599870760116,2.807656466553885,0.8000000000000003
6.7599721508029855,0.4971772072841767,0.06292918667949854,8.298756428558065,14.468947164377468,0.55
5.427111350264772,0.2980715365449642,-0.5006658723997555,5.198661095981993,11.277546201326816,0.55
